Precinct	DVote	RVote
1692	401	359
1693	389	348
1694	283	253
1695	215	192
1696	188	224
1697	316	283
1698	291	266
1699	58	53
1700	488	446
1701	54	50
1702	122	112
1703	214	191
1704	428	381
1705	338	309
1706	274	250
1707	528	483
1708	539	492
1709	219	200
1710	478	425
1711	379	338
1712	417	371
1713	372	87
1714	670	87
1715	497	65
1716	594	77
1717	362	47
1718	723	69
1719	492	47
1720	167	39
1721	557	53
1722	520	50
1723	281	66
1724	456	107
1725	412	96
1726	141	46
1727	0	0
1728	511	168
1729	874	204
1730	0	0
1731	504	118
1732	372	87
1733	345	114
1734	328	108
1735	747	26
1736	372	36
1737	212	20
1738	396	38
1739	604	58
1740	718	69
1741	497	116
1742	607	142
1743	544	52
1744	983	35
1745	594	183
1746	764	235
1747	519	160
1748	479	250
1749	418	129
1750	494	257
1751	756	233
1752	388	383
1753	323	319
1754	583	304
1755	731	381
1756	326	322
1757	649	338
1758	161	84
1759	170	89
1760	377	197
1761	560	292
1762	442	230
1763	505	263
1764	508	264
1765	455	237
1766	484	252
1767	341	178
1768	397	207
1769	536	279
1770	764	503
1771	713	470
1772	509	335
1773	370	244
1774	322	212
1775	362	239
1776	400	263
1777	375	10
1778	111	7
1779	247	53
1780	269	58
1781	513	110
1782	233	50
1783	322	20
1784	640	137
1785	560	120
1786	544	117
1787	572	218
1788	389	83
1789	739	158
1790	197	42
1791	398	85
1792	1179	450
1793	829	316
1794	539	206
1795	738	282
1796	355	427
1797	515	308
1798	691	413
1799	101	60
1800	75	45
1801	129	155
1802	103	124
1803	185	223
1804	578	695
1805	159	4
1806	475	12
1807	212	5
1808	280	7
1809	65	185
1810	38	135
1811	137	479
1812	8	25
1813	53	118
1814	39	99
1815	68	93
1816	18	53
1817	289	398
1818	264	363
1819	564	777
1820	467	643
1821	587	809
1822	202	701
1823	185	640
1824	328	1138
1825	265	917
1826	306	1062
1827	287	995
1828	283	980
1829	247	856
1830	231	801
1831	269	370
1832	436	601
1833	370	509
1834	476	656
1835	234	812
1836	131	180
1837	449	619
1838	406	559
1839	370	510
1840	525	724
1841	238	826
1842	191	660
1843	215	744
1844	268	930
1845	261	906
1846	299	1036
1847	231	532
1848	713	1479
